,text,verdict
0,ohio police officer hospitalized after eating shards of glass in sandwich from columbus restaurant blackliesmatter ,false
1,one of the men who wanted to copy the #orlando shooter was stopped in l.a. he was a liberal democrat and #berniebro. ,false
2,missouri governor declares state of emergency ahead of grand jury ,false
3,the iphone 6 plus really does have a bending problem  ,false
4,"paul walker dies, millions cried. millions died of human hunger, no one simply gives a fk.",true
5,ðŸ”¥ca kkk grand wizard ðŸ”¥ endorses @hillaryclinton #neverhillary #trump2016 ,false
6,#mikebrown wanted to walk down the street. and he is dead. and the #ferguson pd is using his silence in death to make him a criminal.,false
7,"19-year-old girl wakes up during brain surgery, asks doctors â€˜howâ€™s it going?â€™  via @foxnewshealth",true
8,"will you be able to float on jan. 4, 2015, aka zero g day? hint: no.  ",false
9,great @banksy homage to charlie hebdo victims: rt @kowalshki: nice work from banksy #jesuischarlie ,false
10,man cut off penis and threw it in bin after girlfriend dumped him over small manhood  ,false
11,breaking: gill rosenberg (31) from tel aviv former idf soldier was captured by isis after going to iraq to join kurds & fight isis - ch 2,false
12,"the world is running out of chocolate, worldâ€™s largest chocolate manufacturer warns  ",false
13,"name of #ferguson cop is expected to be released by 9 et, police chief says:  (j.b. forbes, ap) ",false
14,"hp confirmed that it's splitting into two companies. and cutting 5,000 jobs.  $hp ",true
15,"bernie sanders has actually won nevada, not hillary clinton! the people have spoken!  ",false
16,pope francis is the real mvp ,false
17,"police chief helric fredou, one of the police officers investigating the case #charliehebdo, commits suicide. ",false
18,"from #ferguson to #hongkong. #hongkongdemocracy protests adopt ""hands up, don't shoot"" ",false
19,if there is surveillance of a robbery why release stills and not the video itself? #ferguson,false
20,thousands of people in china claim they have seen a 'floating city' in the sky ,false
21,"police in #ottawa cannot confirm whether gunman shot dead in parliament is the same person that shot and killed soldier at the war memorial,",true
22,leicester kfc refusing hand wipes to a customer because they anti islamic. what's next? a separate door for woman? sharia sauce? @kfc arses.,false
23,@legendgary #hitemup! bad boy c.e.o. @iamdiddy arrested in connection with murder of tupac shakur: ...  @wethewest,false
24,rip elly may clampett: so sad to learn #beverlyhillbillies star donna douglas has passed away. ,true
25,"hp confirms that it's splitting into two companies. and cutting 5,000 jobs.  $hp ",true
26,this letter to parents from a 1970s lego set is years ahead of its time  ,true
27,the sugarhill gang's big bank hank has died at 57:  ,true
28,dammit - a transgender 17-year-old left a suicide note on tumblr pleading â€œfix societyâ€  via @jobarrow @buzzfeednews,false
29,"boko haram ceasefire includes release of 200+ #bringbackourgirls hostages, nigerian government says ",false
30,so ebola was found in hair extensions? all my bitches wear weave ðŸ˜³,false
31,woman in hospital after confusing hair mousse with builder's foam: ,false
32,"once again, jk rowling is not working on an eighth harry potter book. i expect this rumour originated from either the quibbler or trelawney.",false
33,an open letter to trump voters from his top strategist-turned-defector  @juddapatow @andylassner @bettemidler,false
34,"#whiteliberalproverbs"" i'll have them n*ggers voting democratic for the next two hundred years"". lbj, founder of the modern welfare state",false
35,people are over here boycotting @target over their new transgender bathroom policy and i'm just like ,false
36,banksy's response to the #charliehebdo attack isn't by banksy. but it is striking:  ,false
37,"donna douglas, known for role as elly may clampett on 'the beverly hillbillies', dies:  ",true
38,#tesla reportedly selects nevada to build massive $5 billion battery plant  via @foxcarreport ,true
39,this dog was abandoned at a scottish railway station with a suitcase full of his belongings  ,true
40,"banksy's take on charlie hebdo is simple, elegant & uncompromising #jesuischarlie ",false
41,"#riphulkhogan. you lifted weights, but you also lifted my heart.",false
42,"hewlett-packard to split pc, printer business from corporate hardware, according to reports  ",true
43,banksy shares simple but beautiful tribute to charlie hebdo cartoonists ,false
44,"""@dangerburgundy: @joerogan what...successful clone of dinosaurs  "" holy shit, is that real?",false
45,what's so frustrating is that now we are talking about a robbery and not the killing of an unarmed kid. #ferguson,false
46,caitlyn jenner will pose nude on the sports illustrated cover. her balls will be censored by a sad michael jordan face.,false
47,people blame the massacre in orlando on the nra. newsflash: the orlando shooter wasn't a nra member... but he was a registered democrat.,false
48,"ottawa police confirm that there were multiple suspects in the shooting, saying there were ""possibly 3"" shooters. ",true
49,"local school art project titled ""candlelight"" ",false
50,"looks so innocent without the hood. you would never think this london rapper, abdel-majed abdel bary, beheaded foley ",false
51,target's stock has taken a $2.5 billion hit over its insistence on insulting regular customers ,false
52,we only have one thing to say about that giant goliath birdeater spider:  ,true
53,"fast and furious 7 ""delayed"" but ""won't be scrapped"" following paul walker's death: report ",true
54,"hey @abc, why won't you tweet a statement saying that you did not pay or compensate darren wilson for the interview? why silent? #ferguson",false
55,"tesla says it's broken ground near reno, nevada for a $5 billion battery plant:  ",true
56,newsflashâš¡ï¸the #orlando shooter was a muslim and a democratâœ”ï¸ not a republican or christianâŒ #gaypride2016 ,false
57,the fact that malaysia airlines #mh17 was shot down may hinder insurance payouts  ,false
58,fbi probing alleged audio of michael brown shooting  ,true
59,"'nine britons, 23 us citizens and 80 children' feared dead after #mh17 jet 'shot down'  ",false
60,who shot down the plane? where are the black boxes? 8 unanswered questions from #mh17:  ,false
61,pregnant #ferguson woman blind after being shot in face by police bean bag  (video) ,true
62,"can twerking in louisiana really get you a ""mandatory 30 days in jail""?! ",false
63,one third of vegetarians eat meat when they get drunk |  ,false
64,man who portrayed the marlboro man in the 1970s dies from smoking-related disease ,true
65,hillary surroagte bob beckel calls for assassination of julian assange ,false
66,did speed play a part in paul walker's death? ,true
67,"breaking: tesla to choose nevada for gigafactory, sources tell cnbc. ",true
68,list of overnight arrests in #ferguson much higher than officials reported   via @fergusonunity,false
69,"update: 'most of downtown #ottawa is in lockdown,' police say: ",true
70,actor who played marlboro man in ads dies from smoking-related disease ,true
71,"hobby lobby asks #ferguson pd for clarification: ""we thought chopping off someone's hand was the maximum penalty for shoplifting""",false
72,deandre joshua--shot in the head & torched--was childhood friends w the sole up-close witness to mike brown's murder. ,false
73,fort hood shooter reportedly has drawn $278g in salary since massacre ,true
74,"employees at a chick-fil-a said to be banned from using slang such as ""bae"", ""bruh"", ""ratchet""  ",false
75,motherâ€™s revenge: afghan woman 'kills 25 #taliban militants' after son shot dead  ,false
76,"oh, my. rt @dangillmor hong kong ""hands up, don't shoot"" emulation of ferguson protests is such a powerful image: ",false
77,"target boycott crosses 1 million signers, stock sinks by $1.5 billion ",false
78,à¹€à¸œà¸¢à¸à¸šà¸à¸¢à¸¹à¹€à¸„à¸£à¸™à¸­à¸²à¸ˆà¹€à¸‚à¹‰à¸²à¹ƒà¸ˆà¸œà¸´à¸”à¸„à¸´à¸”à¸§à¹ˆà¸² #mh17 à¹€à¸›à¹‡à¸™à¹€à¸„à¸£à¸·à¹ˆà¸­à¸‡à¸šà¸´à¸™à¸—à¸«à¸²à¸£à¸¢à¸¹à¹€à¸„à¸£à¸™à¸£à¸¸à¸à¸¥à¹‰à¸³ / 14 à¸.à¸„.à¸à¹‡à¹€à¸žà¸´à¹ˆà¸‡à¸¢à¸´à¸‡à¸•à¸à¹„à¸›à¸¥à¸³  ,false
79,doritos-flavored mountain dew is a real thing  ,true
80,"*reads things about talking angela* ""talking angela gets ur personal info"" ""talking angela can access all ur photos"" ",false
81,"""laziness is a trait in blacks,"" 1991 book quotes trump as saying:  ",false
82,breaking news: isis executioner jihadi john reportedly wounded in air strike. big scoop in tomorrow's mos > ,false
83,"i don't want to live on this planet anymore. rt @juddlegum pepsi is making a doritos-flavored mountain dew: ""dewitos"" ",true
84,"that old ""banksy arrested"" hoax is back. don't buy into it. ",false
85,north korea media says kim jong un has made appearance after 40+ days missing:  ,false
86,report: christian bale will play steve jobs  ,false
87,"reports: missing afghan soldiers found trying to cross into canada, source says -@wcvb, @7news, @nbcnews  (fixes typo)",true
88,i aint know obama daughter was pregnant ðŸ˜©,false
89,pictured: kevin vickers moments after shooting dead canadian parliament attacker  ,true
90,mexico security forces hunting 43 missing students after clashes with police find mass grave ,false
91,hour five of your road trip? time to break out the s pen. ,false
92,dog found abandoned at scottish train station with suitcase filled with it's belongings:  ,true
93,afghan woman kills 25 #taliban militants after son shot dead  #bravo  v @sydrza,false
94,corporations have sold or spun off $1.6 trillion worth of subsidiaries & biz lines this year.  ,true
95,highly radioactive water is seeping into the ocean from japan's crippled fukushima nuclear plant ,false
96,paul walker's death: 'fast & furious 7' delayed but won't be scrapped ,true
97,"goodbye elly may: 'beverly hillbillies' star donna douglas dead at 81, reports say.  ",true
98,peek behind the curtain of our save the americans video. ,false
99,line of police cars with high beams on greets anyone trying to enter #ferguson. it's shut down. no media allowed. ,false
100,"we are running out of chocolate, warns world's largest chocolate manufacturer  ",false
101,win: macy's stops stocking sodastream  #bds #palestine @aicnews ,false
102,"three missing afghan officers are in custody at the u.s.-canada border, police say. ",true
103,"""fuck you"" in advance to writers, sites, late night show hosts, etc. who will makes jokes about michael phelps' girlfriend being intersex.",false
104,"confirmed: pepsico is making a doritos-flavored mountain dew called ""dewitos""  ",true
105,r.i.p paul walker â™¥ he died doing what he lovedâ™¥ ,true
106,darren wilson is a six year veteran of the #ferguson police and had no disciplinary actions against him.,false
107,raven symone blasts bill cosby rape story  ,false
108,meet the south american goliath birdeater -- a spider the size of a puppy:  ,true
109,president obama to skip nancy reaganâ€™s funeral in order to attend south by southwest:  ,false
110,"okla beheading victim colleen hufford, rest in peace #beheading #jihad #jahkeemyisrael  ",tru
